PassengerId,Survived,Pclass,Sex,Age,Fare,Embarked,Title,FamilySize,IsAlone,AgeGroup,FareGroup,FamilySizeGroup,SexPclass_female_1,SexPclass_female_2,SexPclass_female_3,SexPclass_male_1,SexPclass_male_2,SexPclass_male_3,AgePclass_1_1,AgePclass_1_2,AgePclass_1_3,AgePclass_2_1,AgePclass_2_2,AgePclass_2_3,AgePclass_3_1,AgePclass_3_2,AgePclass_3_3,AgePclass_4_1,AgePclass_4_2,AgePclass_4_3,AgePclass_5_1,AgePclass_5_2,AgePclass_5_3
1,0,3,0,22.0,7.25,0,1,2,0,3,1,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2,1,1,1,38.0,71.2833,1,3,2,0,4,4,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
3,1,3,1,26.0,7.925,0,2,1,1,3,2,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
4,1,1,1,35.0,53.1,0,3,2,0,3,4,2,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
5,0,3,0,35.0,8.05,0,1,1,1,3,2,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
6,0,3,0,26.0,8.4583,2,1,1,1,3,2,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
7,0,1,0,54.0,51.8625,0,1,1,1,4,4,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
8,0,3,0,2.0,21.075,0,4,5,0,1,3,3,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
9,1,3,1,27.0,11.1333,0,3,3,0,3,2,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
10,1,2,1,14.0,30.0708,1,3,2,0,2,3,2,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
11,1,3,1,4.0,16.7,0,2,3,0,1,3,2,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
12,1,1,1,58.0,26.55,0,2,1,1,4,3,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
13,0,3,0,20.0,8.05,0,1,1,1,3,2,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
14,0,3,0,39.0,31.275,0,1,7,0,4,4,3,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
15,0,3,1,14.0,7.8542,0,2,1,1,2,1,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
16,1,2,1,55.0,16.0,0,3,1,1,4,3,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
17,0,3,0,2.0,29.125,2,4,6,0,1,3,3,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
18,1,2,0,31.0,13.0,0,1,1,1,3,2,1,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
19,0,3,1,31.0,18.0,0,3,2,0,3,3,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
20,1,3,1,31.0,7.225,1,3,1,1,3,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
21,0,2,0,35.0,26.0,0,1,1,1,3,3,1,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
22,1,2,0,34.0,13.0,0,1,1,1,3,2,1,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
23,1,3,1,15.0,8.0292,2,2,1,1,2,2,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
24,1,1,0,28.0,35.5,0,1,1,1,3,4,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
25,0,3,1,8.0,21.075,0,2,5,0,1,3,3,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
26,1,3,1,38.0,31.3875,0,3,7,0,4,4,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
27,0,3,0,26.0,7.225,1,1,1,1,3,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
28,0,1,0,19.0,263.0,0,1,6,0,3,4,3,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
29,1,3,1,18.0,7.8792,2,2,1,1,2,1,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
30,0,3,0,26.0,7.8958,0,1,1,1,3,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
31,0,1,0,40.0,27.7208,1,5,1,1,4,3,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
32,1,1,1,40.0,146.5208,1,3,2,0,4,4,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
33,1,3,1,18.0,7.75,2,2,1,1,2,1,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
34,0,2,0,66.0,10.5,0,1,1,1,5,2,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
35,0,1,0,28.0,82.1708,1,1,2,0,3,4,2,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
36,0,1,0,42.0,52.0,0,1,2,0,4,4,2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
37,1,3,0,26.0,7.2292,1,1,1,1,3,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
38,0,3,0,21.0,8.05,0,1,1,1,3,2,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
39,0,3,1,18.0,18.0,0,2,3,0,2,3,2,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
40,1,3,1,14.0,11.2417,1,2,2,0,2,2,2,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
41,0,3,1,40.0,9.475,0,3,2,0,4,2,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
42,0,2,1,27.0,21.0,0,3,2,0,3,3,2,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
43,0,3,0,26.0,7.8958,1,1,1,1,3,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
44,1,2,1,3.0,41.5792,1,2,4,0,1,4,2,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
45,1,3,1,19.0,7.8792,2,2,1,1,3,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
46,0,3,0,26.0,8.05,0,1,1,1,3,2,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
47,0,3,0,26.0,15.5,2,1,2,0,3,3,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
48,1,3,1,18.0,7.75,2,2,1,1,2,1,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
49,0,3,0,26.0,21.6792,1,1,3,0,3,3,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
50,0,3,1,18.0,17.8,0,3,2,0,2,3,2,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
51,0,3,0,7.0,39.6875,0,4,6,0,1,4,3,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
52,0,3,0,21.0,7.8,0,1,1,1,3,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
53,1,1,1,49.0,76.7292,1,3,2,0,4,4,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
54,1,2,1,29.0,26.0,0,3,2,0,3,3,2,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
55,0,1,0,65.0,61.9792,1,1,2,0,5,4,2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
56,1,1,0,40.0,35.5,0,1,1,1,4,4,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
57,1,2,1,21.0,10.5,0,2,1,1,3,2,1,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
58,0,3,0,28.5,7.2292,1,1,1,1,3,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
59,1,2,1,5.0,27.75,0,2,4,0,1,3,2,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
60,0,3,0,11.0,46.9,0,4,8,0,1,4,3,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
61,0,3,0,22.0,7.2292,1,1,1,1,3,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
62,1,1,1,38.0,80.0,0,2,1,1,4,4,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
63,0,1,0,45.0,83.475,0,1,2,0,4,4,2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
